company_id,company_name,exchange_ticker,industry,is_provisional,green_bond_issuer,classification,bond_isin,issue_date,amount_currency,label,icma_structure,standard_claimed,external_reviewer,review_type,framework_url,allocation_report,sgx_recognised,profitability_flag,fy_minus1_net_income,fy_minus2_net_income,operating_cf_trend,traction_flag,traction_evidence,source_url_1,source_url_2,verified_by,access_date,notes
KLSE:IHH,IHH Healthcare Bhd,IHH MK,Hospitals,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025 ~RM2.10b,FY2024 ~RM2.66b,,,,https://www.ddcap.com/corporate-sukuk-ihh-healthcare-rm4bn-usd890mn-sukuk/,https://www.theedgesingapore.com/capital/results/ihh-healthcares-fy2025-earnings-down-21-stronger-ringgit,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Island Hospital acquisition funded via RM4b sukuk; watch for labelled tranche
KLSE:IOI,IOI Corporation,IOI MK,Agribusiness,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025(Jun) ~RM1.49b,FY2024(Jun) ~RM1.16b,,,,https://theedgemalaysia.com/node/768610,https://finance.yahoo.com/news/ioi-corporation-berhad-full-2025-222641306.html,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,FY2026(Jun) results due ~late Aug 2026
KLSE:MAHB,Malaysia Airports Holdings Bhd,MAHB MK,Transportation Infrastructure,FALSE,N,none,,,,,,,,,,unknown,,profitable,9M2024 RM606m (last public),FY2023 RM543m,,,,https://www.thestar.com.my/business/business-news/2025/02/24/mahb-delisting-after-25-years---watershed-moment-for-airport-operators-privatisation,https://www.malaysiaairports.com.my/en/media-centre/news/1468,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,DELISTED 25 Feb 2025 (GDA privatisation) — ticker defunct; EXCLUDE from investable universe
KLSE:MAY,Malayan Banking Bhd,MAY MK,Banks,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025 ~RM10.51b,FY2024 ~RM10.09b,,,,https://www.maybank.com/en/news/2026/02/26/maybank-fy25-net-profit-up-4-2-percent-to-rm10-51b-roe-11-7.page,https://www.asiafinancial.com/malaysias-maybank-commits-to-11-9bn-sustainable-finance-framework,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Recheck funding programmes before final print
KLSE:MISC,MISC Bhd,MISC MK,Tanker Shipping,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025 RM1.7b,FY2024 ~RM1.2b,,,,https://www.miscgroup.com/media/media-releases/misc-group-financial-results-for-the-fourth-quarter-of-2025,https://www.miscgroup.com/media/media-releases/standard-chartered-leads-misc%E2%80%99s-usd527-million-sustainable-linked-term-loan-financing,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
KLSE:NESZ,Nestle (Malaysia),NESZ MK,Food & Beverages,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025 RM513m,FY2024 ~RM417m,,,,https://www.businesstoday.com.my/2026/02/25/nestle-malaysia-fy25-profit-up-23-to-rm513-million-stages-solid-q4/,https://www.nst.com.my/business/corporate/2026/02/1384998/nestl%C3%A9-malaysias-q4-net-profit-surges-205pct-rm1255mil,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,FY2024 was multi-year low (boycott); recovered FY2025
KLSE:PCHEM,Petronas Chemicals Group,PCHEM MK,Petrochemical,FALSE,N,none,,,,,,,,,,unknown,,loss_making,FY2025 ~-RM2.14b LOSS,FY2024 ~RM1.18b,,,,https://www.bernama.com/en/news.php?id=2526639,https://www.petronas.com/pcg/media/media-releases/fy2025-results-reflect-challenging-market-pcg-prioritises-operational-and,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,"Swung to loss FY2025 (Pengerang drag, weak spreads) — TRACTION SCREEN REQUIRED"
KLSE:PETD,Petronas Dagangan Bhd,PETD MK,Oil & Gas - Retail,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025 RM1.10b (record),FY2024 RM1.09b,,,,https://www.bernama.com/en/news.php?id=2527058,https://www.mymesra.com.my/media/media-releases/petronas-dagangan-posts-record-fy2025-profit-higher-fuel-sales-and-digital,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
KLSE:PMAH,Press Metal Aluminium Holdings Bhd,PMAH MK,Metals & Mining,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025 RM2.1b (record),FY2024 ~RM1.76b,,,,https://www.nst.com.my/business/corporate/2026/02/1385892/press-metal-aluminium-fy25-net-profit-rises-19pct-rm21bil,https://www.sarawaktribune.com/press-metal-completes-rm1-5-bln-sukuk-issuance/,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
KLSE:RHBBANK,RHB Bank Bhd,RHBBANK MK,Banks,FALSE,N,none,,,,,,,Sustainalytics (framework SPO only),second_party_opinion,https://www.rhbgroup.com/-/media/Assets/Corporate-Website/Document/Sustainability-Report/RHB-Sustainability-Sukuk-and-Bond-Framework.pdf,N,,profitable,FY2025 ~RM3.3-3.4b,FY2024 ~RM3.1b,,,,https://www.rhbgroup.com/-/media/Assets/Corporate-Website/Document/Sustainability-Report/Sustainalytics-Second-Party-Opinion.pdf,https://www.nst.com.my/business/corporate/2026/02/1386321/rhb-bank-posts-higher-net-profit-rm33bil-fy25,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,"PIPELINE-ADJACENT: framework+SPO in place, no issuance — a near-term issuer candidate"
KLSE:SIME,Sime Darby Bhd,SIME MK,Autos,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025(Jun) RM2.06b,FY2024(Jun) ~RM3.3b (one-off UMW gain),,,,https://www.sime.com/media/news-release/2025/08/sime-reports-rm2-billion-in-net-profit-for-fy2025/,https://www.businesstoday.com.my/2025/08/27/sime-darbys-fy25-profit-drops-38-to-rm2-billion-declares-10-sen-dividend/,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,FY2026(Jun) not yet released
KLSE:T,Telekom Malaysia,T MK,Telco - Integrated,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025 ~RM1.71b,FY2024 ~RM2.02b,,,,https://www.bernama.com/en/region/news.php?id=2527434,https://www.tm.com.my/news/q4_revenue_increase,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
PSE:AC,Ayala Corporation,AC PM,Conglomerate,FALSE,N,none,,,,,,,,,https://www.ifc.org/en/pressroom/2021/ayala-group-to-issue-the-philippines-first-healthcare-focused-so,N,,profitable,FY2025 ~PHP48.3b core,FY2024 ~PHP45.0b core,,,,https://www.ifc.org/en/pressroom/2021/ayala-group-to-issue-the-philippines-first-healthcare-focused-so,https://business.inquirer.net/579220/ayala-core-profit-hits-record-p48-3b-in-2025,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Core income used (statutory FY2025 has one-offs)
PSE:ALI,Ayala Land Inc,ALI PM,Property Development,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 ~PHP39.1b,FY2024 ~PHP28.2b,,,,https://ayalaland.com/blog/ayala-land-lists-p8-billion-sustainability-linked-bonds-strengthens-commitment-to-sustainable-growth-in-the-philippines,https://ayalaland.com/blog/ayala-land-delivers-fy25-consolidated-net-income-of-php39-1bn,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,FY2025 includes one-off gains
PSE:BDO,BDO Unibank Inc,BDO PM,Banks,FALSE,Y,labelled_reviewed,,,,,,,Sustainalytics (SPO 2022; updated Jul 2024),second_party_opinion,https://www.bdo.com.ph/about-bdo/sustainability/sustainable-finance,Y,,profitable,FY2025 ~PHP87.2b (record),FY2024 ~PHP82.0b,,,,https://www.bdo.com.ph/about-bdo/learn/news-and-features/bdo-asean-sustainability-bond-impact-report-2024,https://www.bworldonline.com/banking-finance/2026/02/27/733286/bdo-net-profit-hits-all-time-high-of-p87-17-billion-in-2025/,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,2nd ASEAN Sustainability Bond Impact Report 2024
PSE:BPI,Bank of the Philippine Islands,BPI PM,Banks,FALSE,Y,labelled_reviewed,,,,,,,Sustainalytics (+ Moody's SPO Oct 2025),second_party_opinion,https://www.bpi.com.ph/about-bpi/sustainability/funding-framework,Y,,profitable,FY2025 ~PHP66.6b,FY2024 ~PHP62.0b,,,,https://www.bpi.com.ph/content/dam/bau/sustainability/sustainability-together/pdfs/2025_bpi-annual-review-sustainalytics.pdf,https://business.inquirer.net/572041/bpi-posts-p66-6b-net-income-in-2025-up-7-4,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Sustainalytics annual allocation reviews 2024+2025
PSE:SM,SM Investments Corp,SM PM,Conglomerate,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 ~PHP90.5b,FY2024 ~PHP82.6b,,,,https://www.sminvestments.com/press_release/sm-investments-fy-2025-net-income-up-10-to-php90-5-billion/,https://www.manilatimes.net/2025/03/03/tmt-newswire/sm-posts-7-growth-in-net-earnings-to-p826b-in-2024/2065449,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
PSE:SMPH,SM Prime Holdings Inc,SMPH PM,Property Development,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 ~PHP48.8b,FY2024 ~PHP45.6b,,,,https://www.philstar.com/business/2025/08/10/2464313/sm-prime-looking-green-financing-options,https://www.smprime.com/company_releases/sm-prime-net-income-hits-p48-8b-in-2025/,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Green financing under evaluation — near-term candidate
PSE:TEL,PLDT Inc,TEL PM,Telco - Integrated,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 ~PHP35.6b core,FY2024 ~PHP32.3b reported,,,,https://insiderph.com/pldt-2025-core-income-up-1-as-maya-profit-boost-cushions-telco-drag,https://www.philstar.com/business/2025/02/28/2424663/pldt-hits-income-target-nets-21-more-p323-billion,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Core income used for latest FY
SET:ADVANC,Advanced Info Service,ADVANC TB,Telco - Mobile,FALSE,Y,labelled_reviewed,,,,,,,DNV,second_party_opinion,https://investor.ais.co.th/storage/document/sustainable-finance/2024/advanc-sustainable-finance-framework-sep-2024-en.pdf,Y,,profitable,FY2025 ~THB47.9b,FY2024 ~THB35.0b,,,,https://investor.ais.co.th/sustainable_finance.html,https://en.thairath.co.th/money/investment/capital_market/2911930,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Sustainable Financing Report 2025 = allocation report
SET:BDMS,Bangkok Dusit Med Service,BDMS TB,Hospitals,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 THB15.85b,FY2024 THB15.99b,,,,https://investor.bdms.co.th/storage/downloads/financial-highlights/financial-highlights-4q2025-en-1.pdf,https://investor.bdms.co.th/en/financial-info/financial-highlights,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
SET:BEM,Bangkok Expressway and Metro PCL,BEM TB,Transportation Infrastructure,FALSE,Y,labelled_reviewed,,,,,,,DNV (Thailand),second_party_opinion,https://investor.bemplc.co.th/storage/document/sustainable-finance/2025/sustainability-framework-oct-2025-en.pdf,Y,,profitable,FY2025 THB3.78b,FY2024 THB3.77b,,,,https://investor.bemplc.co.th/en/sustainability-finance,https://www.krungsri.com/en/newsandactivities/krungsri-banking-news/bem-appreciated-support-from-thai-investors,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Impact report published; aligned ICMA + ASEAN + Thailand Taxonomy
SET:CPALL,CP All,CPALL TB,Retail,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 THB28.21b,FY2024 THB25.35b,,,,https://lssmedia.setlink.set.or.th/2025/YE/CPALL-YE68-ListedCompanySnapshot-EN.html,https://www.cpall.co.th/en/news-en/coporate-news/,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
SET:CPF,Charoen Pokphand Foods PCL,CPF TB,Food & Beverages,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 ~THB25.2b,FY2024 ~THB19.6b,,,,https://www.cpfworldwide.com/en/media-center/2604,https://www.bangkokpost.com/business/general/3206843/cpf-confident-for-2026-after-profit-surge,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,FY2023 was a loss year; last two FYs profitable
SET:CPN,Central Pattana,CPN TB,Property Development,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 ~THB18.9b,FY2024 ~THB16.7b,,,,https://www.ifc.org/en/pressroom/2024/ifc-invests-in-sustainability-linked-bond-issued-by-central-pattana-in-thailand,https://www.bangkokpost.com/property/3203730/central-pattana-sees-net-profit-surge-by-13-in-2025,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
SET:HMPRO,Home Product Center,HMPRO TB,Retail,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 ~THB6.0b,FY2024 ~THB6.5b,,,,https://www.utrade.co.th/content/uploads/research/639076969250587474260226_HMPRO_TB_Results.pdf,https://www.set.or.th/en/market/product/stock/quote/hmpro/factsheet,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
SET:INTUCH,Intouch Holdings PCL,INTUCH TB,Telco - Mobile,FALSE,N,none,,,,,,,,,,N,,profitable,FY2024 ~THB14.6b (last as listed co),FY2023 ~THB14.2b,,,,https://www.set.or.th/en/market/news-and-alert/newsdetails?id=95444200&symbol=INTUCH,https://www.gulf.co.th/en/newsroom/news-and-activities/67/gulf-and-intuch-announce-a-strategic-amalgamation,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,DELISTED 3 Apr 2025 — amalgamated into Gulf Development (GULF); EXCLUDE from investable universe
SET:KTB,Krung Thai Bank,KTB TB,Banks,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 ~THB48.2b,FY2024 ~THB43.9b,,,,https://krungthai.com/en/sustainability/growing-together/sustainable-finance,https://en.moneyandbanking.co.th/2025/151748/,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Negative finding
SET:MINT,Minor International,MINT TB,Hotels,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 THB9.01b,FY2024 THB7.75b,,,,https://www.kaohooninternational.com/markets/572295,https://www.minor.com/en/investor-relations/newsroom/press-releases/2458610/mint-completed-thailands-first-sustainability-linked-syndicated-loan-in-tourism-and-leisure-sector,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
SET:PTT,PTT,PTT TB,Oil & Gas - Integrated,FALSE,Y,cbi_certified,,,,,,,DNV GL (CBI pre+post verifier),second_party_opinion,https://www.pttdebenture.com/src/upload/fckfiles/green-bond/20200908-ptt-debenture-bond-framework.pdf,Y,,profitable,FY2025 ~THB90b,FY2024 ~THB90b,,,,https://www.pttdebenture.com/src/upload/fckfiles/green-bond/20200908-ptt-debenture-cbi-certification.pdf,https://en.thairath.co.th/money/investment/capital_market/2915360,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Historical issuance (matured) — classify carefully on slides; satellite-monitorable reforestation UoP = ideal claim-vs-evidence example
SET:PTTEP,PTT Exploration & Production,PTTEP TB,Oil & Gas Exp & Prodn,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 THB60.27b,FY2024 THB78.82b,,,,https://www.pttep.com/en/newsroom/press-releases/1147/pttep-announces-2025-operational-performance,https://www.pttep.com/en/newsroom/press-releases/1039/pttep-announces-2024-performance-and-2025-operational-plan-investing-over-thb-261-billion-to-continuously-ensure-national-energy-security,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
SET:PTTGC,PTT Global Chemical,PTTGC TB,Petrochemical,FALSE,N,none,,,,,,,DNV (framework SPO only),second_party_opinion,https://sustainability.pttgcgroup.com/storage/document/second-party-opinion-report/2023/second-party-opinion-report-2023.pdf,N,,loss_making,FY2025 -THB14.6b LOSS,FY2024 -THB29.8b LOSS,,,,https://lssmedia.setlink.set.or.th/2025/YE/PTTGC-YE68-ListedCompanySnapshot-EN.html,https://www.pttgcgroup.com/en/newsroom/news/1568/gc-announces-interest-rate-of-440-per-annum-for-the-first-5-years-and-6-months-of-its-baht-subordinated-hybrid-debentures-to-be-offered-to-public-from-27-november-to-3-december-2025,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,TWO consecutive loss years — TRACTION SCREEN REQUIRED; loss narrowing
SET:SCC,Siam Cement,SCC TB,Cement,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 THB14.08b (incl one-offs; adj ~THB4.96b),FY2024 ~THB6.31b,,,,https://www.kaohooninternational.com/markets/577394,https://www.infoquest.co.th/2025/523535,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,THB5.3b restructuring charges 2025; major deleveraging
SET:TOP,Thai Oil,TOP TB,Oil & Gas Refinery,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 THB14.58b,FY2024 THB9.96b,,,,https://investor.thaioilgroup.com/en/financial-information/bond-and-credit-rating,https://www.marketscreener.com/news/thai-oil-q4-2025-ce7e5ad2d188f727,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,FY2025 boosted by debenture-repurchase + bargain-purchase gains
SGX:DBS,DBS Group,DBS SP,Banks,FALSE,Y,labelled_reviewed,,,,,,,Sustainalytics,second_party_opinion,https://www.dbs.com/sustainability/reports-and-disclosures/green-bond-report,Y,,profitable,FY2025 S$10.93b,FY2024 S$11.29b,,,,https://www.dbs.com/iwov-resources/images/sustainability/featured/DBS_Green_Bond_Report_August_2022.pdf,https://www.sustainalytics.com/corporate-solutions/sustainable-finance-and-lending/published-projects/project/dbs/dbs-green-bond/green-bond-framework-and-opinion-20170713-pdf,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Latest located allocation report Aug 2022
SGX:KEP,Keppel Ltd,KEP SP,Conglomerate,FALSE,N,none,,,,,,,none (SL framework reviewed; not green),,https://links.sgx.com/1.0.0/corporate-announcements/ZDDZGXVNAY8HFYTR/783579_GCAT_Keppel%20Sustainability-Linked%20Financing%20Framework.pdf,N,,profitable,FY2025 S$789m (S$1.1b cont. ops),FY2024 S$940m,,,,https://www.keppel.com/media/keppels-financial-results-for-fy-2025/,https://www.keppel.com/media/keppel-launches-sustainability-linked-financing-framework-and-secures-s1-billion-of-sustainability-linked-revolving-credit-facilities/,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Renamed Keppel Ltd 2023; M1 divestment loss S$222m in FY2025
SGX:OCBC,OCBC,OCBC SP,Banks,FALSE,Y,labelled_reviewed,,,,,,,Sustainalytics,second_party_opinion,https://www.ocbc.com/iwov-resources/sg/ocbc/gbc/pdf/investors/green-bond/OCBC%20SUSTAINABILITY%20BOND%20FRAMEWORK%20June%202023.pdf,Y,,profitable,FY2025 ~S$7.42b,FY2024 ~S$7.59b,,,,https://www.ocbc.com/iwov-resources/sg/ocbc/gbc/pdf/investors/green-bond/ocbc%20green%20bond%20report%202022%20(publication).pdf,https://www.sustainalytics.com/corporate-solutions/sustainable-finance-and-lending/published-projects/project/ocbc-bank/ocbc-sustainability-bond-second-party-opinion/ocbc-sustainability-bond-framework-second-party-opinion-pdf,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Green Bond Report 2022 + Sustainalytics review 2024
SGX:SGX,Singapore Exchange,SGX SP,Stockbroking & Exchanges,FALSE,N,none,,,,,,,none,,,N,,profitable,FY2026(Jun) S$698m,FY2025 S$648m,,,,https://investorrelations.sgx.com/,https://ng.investing.com/news/company-news/sgx-group-fy2026-slides-record-revenue-52-dividend-surge-93CH-2643091,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,June FYE; record FY2026
SGX:SIA,Singapore Airlines,SIA SP,Airlines,FALSE,N,none,,,,,,,none,,,N,,profitable,FY2025/26(Mar) S$1184m,FY2024/25 S$2778m,,,,https://www.singaporeair.com/content/dam/sia/web-assets/pdfs/about-us/information-for-investors/financial-results/nr-q4fy2526.pdf,https://cbonds.com/bonds/840221/,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,FY25/26 -57% on absence of prior-yr merger gain + Air India associate losses
SGX:ST,SingTel,ST SP,Telco - Integrated,FALSE,N,none,,,,,,,Sustainalytics (SLB framework only),second_party_opinion,https://www.singtel.com/content/dam/singtel/about-us-singtel/investor-relations/debt/singtel-group-sustainability-linked-bond-framework-hr.pdf,N,,profitable,FY2026(Mar) S$5.61b,FY2025 ~S$4.02b,,,,https://www.singtel.com/about-us/media-centre/news-releases/singtel-posts-fy26-net-profit,https://www.sustainalytics.com/corporate-solutions/sustainable-finance-and-lending/published-projects/project/singapore-telecommunications-limited/singapore-telecommunications-limited-sustainability-linked-bond-framework-second-party-opinion-(2021)/singapore-telecommunications-limited-sustainability-linked-bond-framework-second-party-opinion,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,SLB issuer is Optus subsidiary
